Time (s),Message Name,Arbitration ID,Signals
2.715175,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0050346450000003, 'MSG_CNT_TX3': 15, 'AZ_STAT': 0, 'CRC_TX3': 6}"
2.723897,MM5_10_TX1_174,0x174,"{'PSIP1': 0.11000000000001364, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021514704999999523, 'MSG_CNT_TX1': 0, 'AY1_STAT': 0, 'CRC_TX1': 122}"
2.724350,MM5_10_TX2_178,0x178,"{'PSIP3': -0.05500000000000682, 'CLU_STAT5': 0, 'PSIP3_STAT': 0, 'CLU_DIAG': 255, 'AX1': 0.03681050500000005, 'MSG_CNT_TX2': 0, 'AX1_STAT': 0, 'CRC_TX2': 162}"
2.724713,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0042698549999995, 'MSG_CNT_TX3': 0, 'AZ_STAT': 0, 'CRC_TX3': 178}"
2.734194,MM5_10_TX1_174,0x174,"{'PSIP1': 0.125, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021514704999999523, 'MSG_CNT_TX1': 1, 'AY1_STAT': 0, 'CRC_TX1': 59}"
2.734453,MM5_10_TX2_178,0x178,"{'PSIP3': -0.05500000000000682, 'CLU_STAT5': 1, 'PSIP3_STAT': 0, 'CLU_DIAG': 15, 'AX1': 0.03617317999999958, 'MSG_CNT_TX2': 1, 'AX1_STAT': 0, 'CRC_TX2': 182}"
2.734647,MM5_10_TX3_17C,0x17c,"{'AZ': 1.00363253, 'MSG_CNT_TX3': 1, 'AZ_STAT': 0, 'CRC_TX3': 38}"
2.744531,MM5_10_TX1_174,0x174,"{'PSIP1': 0.15500000000000114, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021514704999999523, 'MSG_CNT_TX1': 2, 'AY1_STAT': 0, 'CRC_TX1': 207}"
2.744775,MM5_10_TX2_178,0x178,"{'PSIP3': -0.06999999999999318, 'CLU_STAT5': 2, 'PSIP3_STAT': 0, 'CLU_DIAG': 5, 'AX1': 0.036428110000000125, 'MSG_CNT_TX2': 2, 'AX1_STAT': 0, 'CRC_TX2': 25}"
2.744964,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0047797149999997, 'MSG_CNT_TX3': 2, 'AZ_STAT': 0, 'CRC_TX3': 130}"
2.753701,MM5_10_TX1_174,0x174,"{'PSIP1': 0.125, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021642169999999794, 'MSG_CNT_TX1': 3, 'AY1_STAT': 0, 'CRC_TX1': 141}"
2.753978,MM5_10_TX2_178,0x178,"{'PSIP3': -0.08500000000000796, 'CLU_STAT5': 3, 'PSIP3_STAT': 0, 'CLU_DIAG': 47, 'AX1': 0.03795768999999982, 'MSG_CNT_TX2': 3, 'AX1_STAT': 0, 'CRC_TX2': 238}"
2.754169,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0054170400000002, 'MSG_CNT_TX3': 3, 'AZ_STAT': 0, 'CRC_TX3': 7}"
2.764034,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021897100000000336, 'MSG_CNT_TX1': 4, 'AY1_STAT': 0, 'CRC_TX1': 61}"
2.764276,MM5_10_TX2_178,0x178,"{'PSIP3': -0.08500000000000796, 'CLU_STAT5': 4, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03859501500000029, 'MSG_CNT_TX2': 4, 'AX1_STAT': 0, 'CRC_TX2': 87}"
2.764462,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0056719699999999, 'MSG_CNT_TX3': 4, 'AZ_STAT': 0, 'CRC_TX3': 87}"
2.774446,MM5_10_TX1_174,0x174,"{'PSIP1': 0.06999999999999318, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02125977499999987, 'MSG_CNT_TX1': 5, 'AY1_STAT': 0, 'CRC_TX1': 113}"
2.774743,MM5_10_TX2_178,0x178,"{'PSIP3': -0.09999999999999432, 'CLU_STAT5': 5, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03884994499999994, 'MSG_CNT_TX2': 5, 'AX1_STAT': 0, 'CRC_TX2': 214}"
2.774928,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0066916900000002, 'MSG_CNT_TX3': 5, 'AZ_STAT': 0, 'CRC_TX3': 70}"
2.784809,MM5_10_TX1_174,0x174,"{'PSIP1': 0.05500000000000682, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.020622450000000292, 'MSG_CNT_TX1': 6, 'AY1_STAT': 0, 'CRC_TX1': 235}"
2.785088,MM5_10_TX2_178,0x178,"{'PSIP3': -0.125, 'CLU_STAT5': 6, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03897741000000021, 'MSG_CNT_TX2': 6, 'AX1_STAT': 0, 'CRC_TX2': 246}"
2.785266,MM5_10_TX3_17C,0x17c,"{'AZ': 1.00745648, 'MSG_CNT_TX3': 6, 'AZ_STAT': 0, 'CRC_TX3': 70}"
2.793901,MM5_10_TX1_174,0x174,"{'PSIP1': 0.06999999999999318, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02125977499999987, 'MSG_CNT_TX1': 7, 'AY1_STAT': 0, 'CRC_TX1': 75}"
2.794133,MM5_10_TX2_178,0x178,"{'PSIP3': -0.09999999999999432, 'CLU_STAT5': 7, 'PSIP3_STAT': 0, 'CLU_DIAG': 33, 'AX1': 0.03795768999999982, 'MSG_CNT_TX2': 7, 'AX1_STAT': 0, 'CRC_TX2': 61}"
2.794318,MM5_10_TX3_17C,0x17c,"{'AZ': 1.007838875, 'MSG_CNT_TX3': 7, 'AZ_STAT': 0, 'CRC_TX3': 215}"
2.804270,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02227949500000026, 'MSG_CNT_TX1': 8, 'AY1_STAT': 0, 'CRC_TX1': 25}"
2.804506,MM5_10_TX2_178,0x178,"{'PSIP3': -0.06999999999999318, 'CLU_STAT5': 8, 'PSIP3_STAT': 0, 'CLU_DIAG': 34, 'AX1': 0.03744782999999963, 'MSG_CNT_TX2': 8, 'AX1_STAT': 0, 'CRC_TX2': 242}"
2.804689,MM5_10_TX3_17C,0x17c,"{'AZ': 1.007838875, 'MSG_CNT_TX3': 8, 'AZ_STAT': 0, 'CRC_TX3': 108}"
2.814675,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.022534424999999914, 'MSG_CNT_TX1': 9, 'AY1_STAT': 0, 'CRC_TX1': 33}"
2.814984,MM5_10_TX2_178,0x178,"{'PSIP3': -0.11000000000001364, 'CLU_STAT5': 9, 'PSIP3_STAT': 0, 'CLU_DIAG': 40, 'AX1': 0.03744782999999963, 'MSG_CNT_TX2': 9, 'AX1_STAT': 0, 'CRC_TX2': 85}"
2.815177,MM5_10_TX3_17C,0x17c,"{'AZ': 1.00745648, 'MSG_CNT_TX3': 9, 'AZ_STAT': 0, 'CRC_TX3': 253}"
2.823782,MM5_10_TX1_174,0x174,"{'PSIP1': 0.125, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02202456499999972, 'MSG_CNT_TX1': 10, 'AY1_STAT': 0, 'CRC_TX1': 242}"
2.824015,MM5_10_TX2_178,0x178,"{'PSIP3': -0.125, 'CLU_STAT5': 10, 'PSIP3_STAT': 0, 'CLU_DIAG': 33, 'AX1': 0.0375752949999999, 'MSG_CNT_TX2': 10, 'AX1_STAT': 0, 'CRC_TX2': 164}"
2.824194,MM5_10_TX3_17C,0x17c,"{'AZ': 1.00745648, 'MSG_CNT_TX3': 10, 'AZ_STAT': 0, 'CRC_TX3': 218}"
2.834169,MM5_10_TX1_174,0x174,"{'PSIP1': 0.125, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021897100000000336, 'MSG_CNT_TX1': 11, 'AY1_STAT': 0, 'CRC_TX1': 96}"
2.834432,MM5_10_TX2_178,0x178,"{'PSIP3': -0.08500000000000796, 'CLU_STAT5': 11, 'PSIP3_STAT': 0, 'CLU_DIAG': 35, 'AX1': 0.0375752949999999, 'MSG_CNT_TX2': 11, 'AX1_STAT': 0, 'CRC_TX2': 38}"
2.834617,MM5_10_TX3_17C,0x17c,"{'AZ': 1.00822127, 'MSG_CNT_TX3': 11, 'AZ_STAT': 0, 'CRC_TX3': 194}"
2.844524,MM5_10_TX1_174,0x174,"{'PSIP1': 0.11000000000001364, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02202456499999972, 'MSG_CNT_TX1': 12, 'AY1_STAT': 0, 'CRC_TX1': 224}"
2.844754,MM5_10_TX2_178,0x178,"{'PSIP3': -0.05500000000000682, 'CLU_STAT5': 12, 'PSIP3_STAT': 0, 'CLU_DIAG': 37, 'AX1': 0.03681050500000005, 'MSG_CNT_TX2': 12, 'AX1_STAT': 0, 'CRC_TX2': 195}"
2.844936,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0084761999999996, 'MSG_CNT_TX3': 12, 'AZ_STAT': 0, 'CRC_TX3': 152}"
2.853652,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021897100000000336, 'MSG_CNT_TX1': 13, 'AY1_STAT': 0, 'CRC_TX1': 200}"
